x,y,z
0,0,0
0.11,0,0
0.21,0,0
0,0.09,0
0.11,0.09,0
0.21,0.09,0
0,0.18,0
0.11,0.18,0
0.21,0.18,0
0,0,0.26
0.11,0,0.26
0.2,0,0.26
0,0.09,0.26
0.11,0.09,0.26
0.2,0.09,0.26
0,0.18,0.26
0.11,0.18,0.26
0.2,0.18,0.26
0,0,0.51
0.09,0,0.51
0.18,0,0.51
0,0.11,0.51
0.09,0.11,0.51
0.18,0.11,0.51
0,0.21,0.51
0.09,0.21,0.51
0.18,0.21,0.51
0,0,0.76
0.09,0,0.76
0.18,0,0.76
0,0.1,0.76
0.09,0.1,0.76
0.18,0.1,0.76
0,0.21,0.76
0.09,0.21,0.76
0.18,0.21,0.76
